Price,Size,bdm,btm,Property Type_Apartment / Condominium,Property Type_House,Property_description_1-storey Terraced House,Property_description_1.5-storey Terraced House,Property_description_2-storey Terraced House,Property_description_2.5-storey Terraced House,Property_description_3-storey Terraced House,Property_description_Apartment,Property_description_Bungalow House,Property_description_Cluster House,Property_description_Condominium,Property_description_Duplex,Property_description_Flat,Property_description_Link Bungalow,Property_description_Others,Property_description_Semi-Detached House,Property_description_Service Residence,Property_description_Studio,Property_description_Terraced House,Property_description_Townhouse,Property_description_Townhouse Condo,Land Title_Bumi Lot,Land Title_Malay Reserved,Land Title_Non Bumi Lot,Location_Batu Pahat,Location_Gelang Patah,Location_Iskandar Puteri,Location_Johor Bahru,Location_Kluang,Location_Kota Tinggi,Location_Kulai,Location_Masai,Location_Muar,Location_Pasir Gudang,Location_Perling,Location_Permas Jaya,Location_Segamat,Location_Senai,Location_Setia Indah,Location_Setia Tropika,Location_Skudai,Location_Tampoi,Location_Tebrau,Location_Ulu Tiram,Location_other,Parking Facility_Parking,Internet Facility_ Home Fibre Available,Security facility_Security,Playground facility_Playground,swimming pool facility_swimming pool,BBQ Area facility_bbq area,Jogging Track facility_Jogging Track,Lift facility_Lift,Minimart facility_Minimart,Minimart facility_Minimart ,gymnasium facility_gymnasium,Multipurpose hall facility_Mulltipurpose Multipurpose hall,Multipurpose hall facility_Multipurpose Multipurpose hall,Multipurpose hall facility_Multipurpose hall,club house facility_club house,Tennis Court facility_Tennis Court,Squash court facility_Squash court,Sauna facility_Sauna,Sauna facility_Sauna 
899000,2636,4,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
358000,1040,2,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
508000,1170,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
590000,1539,6,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
430000,1078,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
520000,1540,3,2,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1060000,2564,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1060000,1689,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
750000,926,3,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
650000,1400,3,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
410000,2335,4,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
510000,1400,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
988000,2380,4,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
